Model Checkpoint Name,Batch size,Average Batches / Second,Average Frames / Second
ssd_mobilenet_v1_coco_2018_01_28,4,2.463,9.852
ssdlite_mobilenet_v2_coco_2018_05_09,4,2.445,9.780
ssd_mobilenet_v1_0.75_depth_300x300_coco14_sync_2018_07_03,4,2.364,9.456
ssd_mobilenet_v1_ppn_shared_box_predictor_300x300_coco14_sync_2018_07_03,4,2.347,9.390
ssd_mobilenet_v2_coco_2018_03_29,4,2.336,9.346
ssd_inception_v2_coco_2018_01_28,4,2.252,9.009
ssd_mobilenet_v1_coco_2018_01_28,1,8.065,8.065
ssdlite_mobilenet_v2_coco_2018_05_09,1,7.874,7.874
ssd_mobilenet_v1_ppn_shared_box_predictor_300x300_coco14_sync_2018_07_03,1,7.813,7.813
ssd_mobilenet_v1_0.75_depth_300x300_coco14_sync_2018_07_03,1,7.634,7.634
ssd_mobilenet_v2_coco_2018_03_29,1,7.634,7.634
ssd_inception_v2_coco_2018_01_28,1,7.042,7.042
faster_rcnn_inception_v2_coco_2018_01_28,4,1.377,5.510
ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,4,1.309,5.236
faster_rcnn_resnet50_lowproposals_coco_2018_01_28,4,1.190,4.762
faster_rcnn_inception_v2_coco_2018_01_28,1,4.739,4.739
ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,1,4.566,4.566
mask_rcnn_inception_v2_coco_2018_01_28,4,1.099,4.396
ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,4,1.056,4.224
faster_rcnn_resnet50_lowproposals_coco_2018_01_28,1,4.132,4.132
mask_rcnn_inception_v2_coco_2018_01_28,1,4.032,4.032
ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,1,3.663,3.663
faster_rcnn_resnet101_lowproposals_coco_2018_01_28,4,0.895,3.581
faster_rcnn_resnet50_coco_2018_01_28,4,0.842,3.370
faster_rcnn_resnet101_kitti_2018_01_28,4,0.833,3.333
faster_rcnn_resnet101_lowproposals_coco_2018_01_28,1,3.125,3.125
faster_rcnn_resnet101_kitti_2018_01_28,1,2.994,2.994
faster_rcnn_resnet50_coco_2018_01_28,1,2.985,2.985
rfcn_resnet101_coco_2018_01_28,4,0.739,2.956
faster_rcnn_resnet101_ava_v2.1_2018_04_30,4,0.709,2.837
faster_rcnn_resnet101_coco_2018_01_28,4,0.687,2.747
rfcn_resnet101_coco_2018_01_28,1,2.604,2.604
faster_rcnn_resnet101_ava_v2.1_2018_04_30,1,2.500,2.500
faster_rcnn_resnet101_coco_2018_01_28,1,2.445,2.445
mask_rcnn_resnet50_atrous_coco_2018_01_28,4,0.404,1.614
mask_rcnn_resnet50_atrous_coco_2018_01_28,1,1.534,1.534
faster_rcnn_inception_resnet_v2_atrous_lowproposals_coco_2018_01_28,4,0.269,1.074
faster_rcnn_inception_resnet_v2_atrous_lowproposals_coco_2018_01_28,1,1.004,1.004
mask_rcnn_resnet101_atrous_coco_2018_01_28,4,0.217,0.869
mask_rcnn_resnet101_atrous_coco_2018_01_28,1,0.830,0.830
faster_rcnn_nas_lowproposals_coco_2018_01_28,1,0.808,0.808
faster_rcnn_inception_resnet_v2_atrous_lowproposals_oid_2018_01_28,4,0.177,0.709
faster_rcnn_inception_resnet_v2_atrous_lowproposals_oid_2018_01_28,1,0.676,0.676
mask_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,4,0.132,0.529
faster_rcnn_resnet50_fgvc_2018_07_19,4,0.132,0.528
faster_rcnn_resnet101_fgvc_2018_07_19,4,0.129,0.517
mask_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,1,0.496,0.496
faster_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,1,0.471,0.471
faster_rcnn_resnet50_fgvc_2018_07_19,1,0.446,0.446
faster_rcnn_resnet101_fgvc_2018_07_19,1,0.446,0.446
faster_rcnn_inception_resnet_v2_atrous_oid_2018_01_28,1,0.378,0.378