Model Checkpoint Name,Batch size,Average batch hz,Average frame hz
ssd_mobilenet_v1_coco_2018_01_28,4,20.408,81.633
ssdlite_mobilenet_v2_coco_2018_05_09,4,18.519,74.074
ssd_inception_v2_coco_2018_01_28,4,18.182,72.727
ssd_mobilenet_v1_0.75_depth_300x300_coco14_sync_2018_07_03,4,15.625,62.500
ssd_mobilenet_v1_0.75_depth_quantized_300x300_coco14_sync_2018_07_18,4,14.925,59.701
ssd_mobilenet_v1_quantized_300x300_coco14_sync_2018_07_18,4,12.658,50.633
ssd_mobilenet_v1_coco_2018_01_28,1,47.619,47.619
ssd_mobilenet_v2_quantized_300x300_coco_2018_09_14,4,11.364,45.455
ssdlite_mobilenet_v2_coco_2018_05_09,1,45.455,45.455
ssd_inception_v2_coco_2018_01_28,1,40.000,40.000
ssd_mobilenet_v1_0.75_depth_300x300_coco14_sync_2018_07_03,1,35.714,35.714
ssd_mobilenet_v1_0.75_depth_quantized_300x300_coco14_sync_2018_07_18,1,31.250,31.250
ssd_mobilenet_v1_quantized_300x300_coco14_sync_2018_07_18,1,28.571,28.571
ssd_mobilenet_v2_quantized_300x300_coco_2018_09_14,1,25.000,25.000
ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,4,4.065,16.260
ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,4,3.704,14.815
ssd_mobilenet_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,1,13.158,13.158
ssd_resnet50_v1_fpn_shared_box_predictor_640x640_coco14_sync_2018_07_03,1,11.905,11.905
faster_rcnn_inception_v2_coco_2018_01_28,1,8.621,8.621
faster_rcnn_resnet50_lowproposals_coco_2018_01_28,1,6.803,6.803
mask_rcnn_inception_v2_coco_2018_01_28,1,6.711,6.711
faster_rcnn_resnet50_coco_2018_01_28,1,4.098,4.098
rfcn_resnet101_coco_2018_01_28,1,3.448,3.448
mask_rcnn_resnet50_atrous_coco_2018_01_28,1,1.835,1.835